foundName,fixedName
Direct For Biological Sciences,Directorate for Biological Sciences
Direct For Mathematical & Physical Scien,Directorate for Mathematical & Physical Sciences
Direct For Computer & Info Scie & Enginr,Directorate for Computer & Information Science & Engineering
"Direct For Social, Behav & Economic Scie","Directorate for Social, Behavioral & Economic Sciences"
Office Of The Director,Office Of The Director
Directorate For Engineering,Directorate for Engineering
"Dir for Tech, Innovation, & Partnerships","Directorate for Tech, Innovation, & Partnerships"
Directorate For Geosciences,Directorate for Geosciences
Direct For Education and Human Resources,Directorate for Education and Human Resources
Directorate for STEM Education,Directorate for STEM Education
"Office of Budget, Finance, & Award Management","Office of Budget, Finance, & Award Management"
Natl Nanotechnology Coordinating Office,National Nanotechnology Coordinating Office
Office Of Information & Resource Mgmt,Office Of Information & Resource Management
Directorate for Computer & Information Science & Engineering,Directorate for Computer & Information Science & Engineering
"Directorate for Social, Behavioral & Economic Sciences","Directorate for Social, Behavioral & Economic Sciences"
Office Of Polar Programs,Office Of Polar Programs
Directorate for Biological Sciences,Directorate for Biological Sciences
National Coordination Office,National Coordination Office
Directorate for Geosciences,Directorate for Geosciences
OFFICE OF THE DIRECTOR,Office Of The Director
Directorate for Engineering,Directorate for Engineering
Directorate for Mathematical & Physical Sciences,Directorate for Mathematical & Physical Sciences
Directorate for Education & Human Resources,Directorate for Education & Human Resources
